claim_id,claim_amount,claim_age_days,policyholder_age,prior_claims,vehicle_age_years,annual_premium,claim_type,vehicle_type,policy_state,incident_hour,is_fraud
CLM-000001,920.96,2618,37,0,11,1481.65,windscreen,hatchback,VIC,3,0
CLM-000002,9319.96,575,49,2,10,1373.96,collision,suv,NSW,16,0
CLM-000003,6371.83,1868,43,1,12,1445.33,windscreen,sedan,VIC,23,0
CLM-000004,3877.48,1333,51,2,18,961.9,theft,ute,NSW,19,0
CLM-000005,3376.42,3042,67,0,6,1339.85,collision,sedan,NSW,9,0
CLM-000006,8395.69,157,39,0,6,1087.16,liability,ute,VIC,11,0
CLM-000007,7394.52,66,33,1,21,1690.41,windscreen,suv,QLD,1,0
CLM-000008,7104.85,2031,36,0,18,1575.47,windscreen,sedan,WA,8,0
CLM-000009,4198.61,3542,69,1,11,1574.53,collision,sedan,QLD,0,0
CLM-000010,2294.06,3631,84,1,4,1915.45,collision,ute,WA,17,0
CLM-000011,5299.37,2166,24,0,21,1241.11,collision,sedan,QLD,21,0
CLM-000012,5497.4,1569,83,0,19,1168.83,liability,hatchback,QLD,4,0
CLM-000013,2583.81,996,20,1,7,1233.31,theft,ute,NSW,16,0
CLM-000014,2290.59,3613,53,0,11,821.26,windscreen,ute,QLD,14,0
CLM-000015,6974.28,668,26,1,9,847.22,collision,sedan,NSW,10,0
CLM-000016,10384.68,460,81,0,18,1554.96,collision,ute,NSW,17,1
CLM-000017,1699.27,1855,69,1,15,889.6,collision,hatchback,NSW,16,0
CLM-000018,2446.63,1432,41,1,10,995.28,collision,sedan,WA,6,0
CLM-000019,3878.48,1809,63,0,21,1316.43,windscreen,suv,QLD,19,0
CLM-000020,4293.89,3292,74,0,13,1213.96,theft,sedan,SA,15,0
CLM-000021,2014.7,984,32,0,10,1642.27,windscreen,suv,SA,7,0
CLM-000022,12242.15,3199,60,0,20,1369.95,collision,ute,WA,17,0
CLM-000023,4091.11,772,38,1,9,1086.51,liability,suv,NSW,15,0
CLM-000024,4440.57,1181,66,1,9,1670.64,liability,suv,WA,2,0
CLM-000025,11149.65,16,56,0,8,1590.5,windscreen,sedan,WA,3,0
CLM-000026,2128.57,2476,66,1,4,884.38,collision,sedan,WA,7,0
CLM-000027,2789.66,3133,60,1,6,1433.25,collision,sedan,NSW,1,0
CLM-000028,1164.45,3234,60,1,2,1114.02,collision,hatchback,NSW,9,0
CLM-000029,2619.5,611,23,0,16,1105.33,collision,suv,SA,11,0
CLM-000030,975.85,2799,75,1,12,1966.94,theft,suv,NSW,18,1
CLM-000031,5223.31,515,29,1,20,1391.01,windscreen,ute,VIC,4,0
CLM-000032,4084.68,2293,44,0,13,1278.21,liability,sedan,VIC,13,0
CLM-000033,2421.63,2563,52,2,1,1378.03,collision,sedan,NSW,15,0
CLM-000034,2764.69,556,74,1,13,1638.5,collision,sedan,NSW,10,0
CLM-000035,5276.93,403,60,0,3,1118.47,collision,hatchback,SA,21,0
CLM-000036,1271.75,266,30,1,0,1174.82,collision,ute,WA,7,0
CLM-000037,3474.22,2585,37,0,14,1566.7,collision,suv,WA,9,0
CLM-000038,5037.33,2243,31,2,0,849.59,collision,sedan,NSW,0,0
CLM-000039,783.13,435,57,1,9,1676.95,collision,sedan,NSW,9,0
CLM-000040,4982.58,1826,66,0,19,820.29,theft,suv,VIC,0,0
CLM-000041,849.33,2904,65,0,5,1268.9,collision,suv,VIC,23,0
CLM-000042,2729.31,868,68,1,15,822.39,windscreen,hatchback,NSW,5,0
CLM-000043,1245.7,2210,65,0,8,1001.44,windscreen,ute,QLD,19,0
CLM-000044,8720.53,1068,78,1,2,1778.23,collision,suv,SA,2,1
CLM-000045,1251.58,952,78,0,4,1694.67,windscreen,ute,VIC,6,0
CLM-000046,864.68,1431,36,0,1,1729.94,windscreen,hatchback,VIC,2,0
CLM-000047,3294.51,1285,38,1,3,871.83,collision,suv,VIC,8,0
CLM-000048,2185.77,1808,21,1,3,1003.15,collision,suv,NSW,14,0
CLM-000049,964.44,749,35,0,19,1462.16,theft,hatchback,NSW,10,0
CLM-000050,4422.06,1424,52,1,17,1586.05,collision,sedan,VIC,14,0
CLM-000051,669.4,2271,62,0,7,1086.16,collision,hatchback,VIC,19,0
CLM-000052,1370.35,1413,76,0,15,1158.96,collision,sedan,VIC,1,0
CLM-000053,1936.4,2395,57,0,4,976.66,windscreen,suv,WA,10,0
CLM-000054,5440.72,422,83,0,14,1897.22,theft,ute,NSW,14,0
CLM-000055,7876.2,502,55,1,4,1193.26,windscreen,suv,NSW,12,0
